company_id,company_name,hq_addr1,hq_addr2,hq_locality,hq_region,hq_postal_code,hq_country,website,industry,company_size
2740407,5skills,Weitzman Street,,Tel Aviv,,,Israel,http://5skills.me/,Staffing and Recruiting,1-10 employees
2585469,IDC Elevator,35 Ahad Haam,,Tel Aviv,,,Israel,http://www.idcelevator.com,Venture Capital & Private Equity,51-200 employees
667454,Startupbootcamp,Startupbootcamp Copenhagen,,Copenhagen,,1105,Denmark,http://www.startupbootcamp.org,Venture Capital & Private Equity,1-10 employees
203436,Experteer,Lenbachplatz 3,,Munich,Deutschland,80333,Germany,http://www.experteer.com,Internet,51-200 employees
100709,Excem,,,,,,,http://www.excem.com,Telecommunications,11-50 employees
28459,Yigal Arnon & Co.,1 Azrieli Center,,Tel Aviv,,67021,Israel,http://www.arnon.co.il,Law Practice,201-500 employees
11121,Israeli Air Force,,,,,,,,Military,"10,001+ employees"
727974,Intel Labs,2111 NE 25th Ave,,Hillsboro,OR,97124,United States,http://techresearch.intel.com,Research,1001-5000 employees
3149,Israel Defense Forces,,,,,,,,Military,"10,001+ employees"
2375321,365scores,,,,,,,,,
1160078,ActivePath,,,,,,,,,
11232,Conduit,,,,,,,,,
18770,Exent Technologies Ltd.,,,,,,,,,
30282,Infogin,,,,,,,,,
1154695,The Founder Institute,,,,,,,,,
63673,IDSA (The Industrial Designers Society of America),,,,,,,,,
10207,Tefen,,,,,,,,,
3013546,Swayy,,,,,,,,,
2691289,[SUMMER],,,,,,,,,
1616637,Quadmanage,,,,,,,,,
2275775,TeeMeW,,,,,,,,,
417153,IPgallery,,,,,,,,,
586362,PresenTense,,,,,,,,,
412167,Yes To Carrots,,,,,,,,,
1922,McCann Erickson - Tel Aviv,,,,,,,,,
152405,Driven Systems,,,,,,,,Information Technology and Services,1-10 employees
2811452,Tomigo,,,,,,,,,
,eBay Inc,,,,,,,,,
,The Gifts Project,,,,,,,,,
,"The Interdisciplinary Center, Herzliya",,,,,,,,,
,MEET - Middle East Education through Technology,,,,,,,,,
,startupseeds,,,,,,,,,
,TEDxTelAviv,,,,,,,,,
49593,"Naschitz, Brandes & Co.",,,,,,,,Law Practice,51-200 employees
,Manpower Israel,,,,,,,,,
,Niloos Software ltd - Niloosoft,,,,,,,,,
,Verix,,,,,,,,,
,DealSquare,,,,,,,,,
,Leadspace,,,,,,,,,
,Reply.com,,,,,,,,,
,MerchantCircle,,,,,,,,,
,TimeBridge Inc.,,,,,,,,,
18087,iPhrase Technologies,,,,,,,,Computer Software,51-200 employees
8360,Octel Communications,,,,,,,,Telecommunications,1001-5000 employees
,Presentip,,,,,,,,,
213430,unisurf,,,,,,,http://www.unisurf.co.il,Wireless,11-50 employees
,Cellcom,,,,,,,,,
,Canaan Partners,,,,,,,,,
,TravelWhisper,,,,,,,,,
,MK Capital,,,,,,,,,
,AudioCodes,,,,,,,,,
152405,Driven Systems,,,,,,,,Information Technology and Services,1-10 employees
49593,"Naschitz, Brandes & Co.",,,,,,,,Law Practice,51-200 employees
18087,iPhrase Technologies,,,,,,,,Computer Software,51-200 employees
,3 Day Startup Israel,,,,,,,,,
,Computer for Every Child,,,,,,,,,
,Compulab,,,,,,,,,
,Qualcomm,,,,,,,,,
,Zao.com,,,,,,,,,
,"Infolinks, Inc.",,,,,,,,,
,FixYa.com,,,,,,,,,
,Bank Hapoalim,,,,,,,,,
,Aman Group,,,,,,,,,
,eToro,,,,,,,,,
,Magenta Financial Technology,,,,,,,,,
,Sofaware,,,,,,,,,
,Oblicore,,,,,,,,,
166036,Softwatch,,,,,,,,Computer Software,51-200 employees
,Ness Technologies,,,,,,,,,
334762,Creo Color Servers,,,,,,,http://www.creoservers.com,Graphic Design,501-1000 employees
,Ethosia,,,,,,,,,
,Galileo Satellite Navigation,,,,,,,,,
341027,Jemtex Ink Jet Printing Ltd,,,,,,,http://www.jemtex.com,Printing,11-50 employees
,StarTraq (UK) Ltd,,,,,,,,,
,Marvell,,,,,,,,,
,XOR,,,,,,,,,
53295,Tadiad,,,,,,,,Computer Software,51-200 employees
,Mipso,,,,,,,,,
,Vernet Technologies,,,,,,,,,
,AYR - Amar Reiter Jeanne Sage Cohen & Co.,,,,,,,,,
,Sponsez,,,,,,,,,
,Worldcom International Commuincations,,,,,,,,,
164833,Mamram,,,,,,,,Computer Software,"10,001+ employees"
,AOL,,,,,,,,,
,P-Kama,,,,,,,,,
,Orsus,,,,,,,,,
,Medcon,,,,,,,,,
,DSNR Media Group,,,,,,,,,
,Ewave,,,,,,,,,
,university of hertfordshire,,,,,,,,,
,Malam,,,,,,,,,
,Whitewater,,,,,,,,,
,Ben Gurion University,,,,,,,,,
1850849,zweimaleins werbeagentur gmbh,,,,,,,http://www.zweimaleins.de/,Marketing and Advertising,
,Cosalux GmbH,,,,,,,,,
35616,AIM Proximity,,,,,,,http://www.aimproximity.co.nz,Marketing and Advertising,51-200 employees
,People Interactive,,,,,,,,,
,viventura,,,,,,,,,
515007,American Intellectual Property Law Association,,,,,,,http://www.aipla.org,Public Policy,11-50 employees
499123,Bizportal.co.il,,,,,,,http://www.bizportal.co.il,Marketing and Advertising,51-200 employees
,boxee,,,,,,,,,
499123,Bizportal.co.il,,,,,,,http://www.bizportal.co.il,Marketing and Advertising,51-200 employees
,IFP,,,,,,,,,
,Sytec (TelstraClear),,,,,,,,,
,HP NZ,,,,,,,,,
,New Zealand Post,,,,,,,,,
,DNA,,,,,,,,,
836931,Te Kura The Correspondence School,,,,,,,http://www.correspondence.school.nz,Education Management,201-500 employees
1295685,various start-ups,,,,,,,http://,Internet,
6741,Hotbar.com,,,,,,,,Internet,51-200 employees
,Matchcraft.com,,,,,,,,,
,Learning Media,,,,,,,,,
,Fairfax Digital,,,,,,,,,
1376416,Tenon LTD,,,,,,,http://,Building Materials,
,Freshfields Bruckhaus Deringer LLP,,,,,,,,,
,Rhodium,,,,,,,,,
,Innovation Endeavors,,,,,,,,,
,Palm Inc.,,,,,,,,,
,"Microsoft Technology Center, Tel-Aviv",,,,,,,,,
,Vocativ,,,,,,,,,
,Pelephone,,,,,,,,,
,Amdocs,,,,,,,,,
,WalkMe,,,,,,,,,
,Porter Novelli / Gitam,,,,,,,,,
,Ruder Finn,,,,,,,,,
3153,Hebrew University,,,,,,,,Research,1001-5000 employees
,ShowGizmo,,,,,,,,,
,Vault Consulting (NZ) Ltd,,,,,,,,,
,Snap Roll Cafe,,,,,,,,,
167599,PlanHQ,,,,,,,,Internet,1-10 employees
39353,Positively Wellington Business,,,,,,,,International Trade and Development,11-50 employees
26015,Investment,,,,,,,http://www.investmentnz.govt.nz,Investment Management,11-50 employees
,Victoria University of Wellington,,,,,,,,,
,Intergen,,,,,,,,,
1825488,ACM NZ Ltd,,,,,,,http://www.acmnz.co.nz,Financial Services,
,Manpower,,,,,,,,,
,Fujitsu NZ Ltd,,,,,,,,,
,ManpowerGroup,,,,,,,,,
,Intralot NZ Ltd,,,,,,,,,
265727,"ORB Communications, The Terrace, Wellington & High St, Lower Hutt",,,,,,,http://www.orbtheterrace.co.nz,Telecommunications,11-50 employees
265727,"ORB Communications, The Terrace, Wellington & High St, Lower Hutt",,,,,,,http://www.orbtheterrace.co.nz,Telecommunications,11-50 employees
64598,Migdal Capital Markets,,,,,,,,Financial Services,201-500 employees
,Silicon Valley Bank,,,,,,,,,
,Sun Microsystems,,,,,,,,,
,Quix Video Technologies,,,,,,,,,
,Orckit,,,,,,,,,
,Orckit Communications Ltd.,,,,,,,,,
76065,MLL,,,,,,,,Computer Software,51-200 employees
,Elad Systems,,,,,,,,,
,The Bulleit Group (an Enterprise focused PR firm),,,,,,,,,
,Jive Software,,,,,,,,,
,eMeter Corporation,,,,,,,,,
,Serena Software,,,,,,,,,
,Reuters,,,,,,,,,
,Reuters Group,,,,,,,,,
3754,Netscape,,,,,,,http://netscape.aol.com/,Computer Software,1001-5000 employees
,Edelman Public Relations Worldwide,,,,,,,,,
,Organizations in Need of Help,,,,,,,,,
,SellerEngine Software,,,,,,,,,
,Danube Technologies (now CollabNet),,,,,,,,,
,Keller Williams Realty,,,,,,,,,
,IDC Elevator Startup Accelerator,,,,,,,,,
1130658,Hathaway-Sycamores Child & Family Services,,,,,,,http://www.hathaway-sycamores.org,Mental Health Care,501-1000 employees
,University of Southern California,,,,,,,,,
,920 Career Agents,,,,,,,,,
,Momentum Consulting Group,,,,,,,,,
,KPMG,,,,,,,,,
327927,Department of Internal Affairs,,,,,,,http://www.dia.govt.nz,Computer Networking,501-1000 employees
298805,State Services Commission,,,,,,,http://www.ssc.govt.nz/,Government Administration,51-200 employees
1677092,Pertronic Industries Ltd,,,,,,,http://www.pertronic.co.nz,Electrical/Electronic Manufacturing,
,ideomobile,,,,,,,,,
,UXpert,,,,,,,,,
,UXI - User Experience Israel Org.,,,,,,,,,
20376,Personeta,,,,,,,http://www.personeta.com,Telecommunications,11-50 employees
3149,Israel Defense Forces,,,,,,,,Military,"10,001+ employees"
,HOK,,,,,,,,,
1503639,Marc & Chantal Design,,,,,,,http://www.marc-chantal.com,Design,11-50 employees
,Benoy,,,,,,,,,
,DataFactors,,,,,,,,,
,Analytics Quotient,,,,,,,,,
