skill_name,skill_url
Business Strategy,http://www.linkedin.com/skills/skill/Business_Strategy
Strategic Partnerships,http://www.linkedin.com/skills/skill/Strategic_Partnerships
Market Research,http://www.linkedin.com/skills/skill/Market_Research
Management,http://www.linkedin.com/skills/skill/Management
Business Development,http://www.linkedin.com/skills/skill/Business_Development
International Development,http://www.linkedin.com/skills/skill/International_Development
Product Innovation,http://www.linkedin.com/skills/skill/Product_Innovation
Languages,http://www.linkedin.com/skills/skill/Languages
Team Leadership,http://www.linkedin.com/skills/skill/Team_Leadership
Object Oriented Design,http://www.linkedin.com/skills/skill/Object_Oriented_Design
OOP,http://www.linkedin.com/skills/skill/OOP
Java,http://www.linkedin.com/skills/skill/Java
Multithreading,http://www.linkedin.com/skills/skill/Multithreading
C++,http://www.linkedin.com/skills/skill/C++
Software Design,http://www.linkedin.com/skills/skill/Software_Design
Software Engineering,http://www.linkedin.com/skills/skill/Software_Engineering
AJAX,http://www.linkedin.com/skills/skill/AJAX
Perl,http://www.linkedin.com/skills/skill/Perl
JavaScript,http://www.linkedin.com/skills/skill/JavaScript
Node.js,http://www.linkedin.com/skills/skill/Node.js
Design Patterns,http://www.linkedin.com/skills/skill/Design_Patterns
TDD,http://www.linkedin.com/skills/skill/TDD
Test Driven Development,http://www.linkedin.com/skills/skill/Test_Driven_Development
Backbone.js,http://www.linkedin.com/skills/skill/Backbone.js
Start-ups,http://www.linkedin.com/skills/skill/Start-ups
Mobile Devices,http://www.linkedin.com/skills/skill/Mobile_Devices
Product Management,http://www.linkedin.com/skills/skill/Product_Management
Go-to-market Strategy,http://www.linkedin.com/skills/skill/Go-to-market_Strategy
Digital Media,http://www.linkedin.com/skills/skill/Digital_Media
B2B,http://www.linkedin.com/skills/skill/B2B
Internet,http://www.linkedin.com/skills/skill/Internet
New Business Development,http://www.linkedin.com/skills/skill/New_Business_Development
Entrepreneurship,http://www.linkedin.com/skills/skill/Entrepreneurship
Monetization,http://www.linkedin.com/skills/skill/Monetization
E-commerce,http://www.linkedin.com/skills/skill/E-commerce
International Sales,http://www.linkedin.com/skills/skill/International_Sales
New Media,http://www.linkedin.com/skills/skill/New_Media
Business Modeling,http://www.linkedin.com/skills/skill/Business_Modeling
Sales Management,http://www.linkedin.com/skills/skill/Sales_Management
Professional Services,http://www.linkedin.com/skills/skill/Professional_Services
